ANID,Alternat_ ID,Site Name,NAA Group,Ware,Ware description,Date,Form,Ce,Co,Cr,Cs,Eu,Fe,Hf,Ni,Rb,Sb,Sc,Sr,Ta,Tb,Th,Zn,Zr,As,La,Lu,Nd,Sm,U,Yb,Al,Ba,Ca,Dy,K,Mn,Na,Ti,V
UZB112,TASH002,Tashkent,TASH,opaque,opaque white with green decoration,9th c. CE,Open Vessel - Unknown,64.27,13.43,81.75,6.03,1.18,34969,4.81,0,85.19,2.34,12.52,389.85,0.98,0.8,11.85,112.94,135.82,15.62,33.29,0.37,31.35,5.8,3.27,2.59,70336,667.06,90760,4.46,23741,766.43,11631,3748.4,86.65
UZB113,TASH004,Tashkent,unassigned,opaque,opaque white with green and brown decoration,end of the 9th  - beginning of the 10th c. CE,Open Vessel - Unknown,68.29,15.13,97.35,7.11,1.24,37343,5.35,53.12,107.85,1.35,13.7,392.75,1.04,0.87,12.1,91.41,141.39,12.88,34.54,0.4,31.86,6.16,3.12,3.01,68989,790.04,51757,4.6,27880,888.4,11864,3493.9,99.63
UZB114,TASH006,Tashkent,TASH,opaque,opaque white with green and brown,9th c. CE,Open Vessel - Unknown,66.83,13.08,93.58,5.84,1.16,33889,5.49,0,88.18,1.73,12.66,408.45,0.99,1.16,11.81,90.36,149.48,15.04,34.18,0.37,31.11,5.88,4.99,3.03,72057,573.53,72506,4.59,23071,610.8,13205,4012.3,106.47
UZB115,TASH007,Tashkent,TASH,opaque,opaque white with green and brown,9th c. CE,Open Vessel - Unknown,69.01,15.47,92.98,7.24,1.22,38885,4.98,0,111.45,1.99,13.89,368.54,1.02,1.27,12.44,92.41,140.21,15.63,34.5,0.4,30.99,6.12,3.18,2.85,72984,613.46,70897,5.18,26986,992.45,11008,4255.7,98.89
UZB116,TASH008,Tashkent,TASH,slipware,white spots with transparent green,first half of the 10th c. CE,Open Vessel - Bowl,66.85,13.69,75.36,7.13,1.16,35553,4.67,59.18,105.06,1.92,12.72,375.67,1.02,1.11,12.94,98.1,120.92,13.87,34.28,0.38,27.83,5.75,2.87,2.61,66211,589.9,90235,4.84,22441,820.6,9009.2,4107.1,92.5
UZB117,TASH010,Tashkent,TASH,slipware,polychrome slipware with green splashed,first half of the 10th  c. CE,Open Vessel - Bowl,66.91,13.72,79.25,3.9,1.12,34859,5.44,59.96,76.43,2.32,12.38,342.36,1.03,0.9,12.09,94.96,136.09,16.14,34.36,0.38,30.47,5.95,3.68,2.96,69702,623.09,86421,4.84,20763,816.51,10284,3380.6,88.38
UZB118,TASH012,Tashkent,TASH,slipware,polychrome slipware with green splashes,10th c. CE,Open Vessel - Bowl,67.55,13.36,80.1,6.49,1.21,35887,5.06,31.81,107.73,1.52,13.11,405.61,1.01,1.14,12.49,128.79,120.34,12.06,33.97,0.37,31.04,5.95,3.45,3.04,71594,638.67,74488,4.47,28012,715.93,10899,3987.9,87.31
UZB119,TASH013,Tashkent,TASH,slipware,polychrome slipware with green splashed and incision,10th  c. CE,Open Vessel - Unknown,72.85,14.2,81.12,7.99,1.22,39043,4.78,57.78,114.82,1.72,13.96,442.08,1.11,0.81,14,123.15,95.07,14.64,36.79,0.4,30.37,6.23,3.88,3.05,76057,650.52,66076,4.72,29375,845.48,9772.7,4087.2,87.17
UZB120,TASH014,Tashkent,unassigned,slipware,polychrome slipware with green splashes,10th c. CE,Open Vessel - Unknown,67.36,12.41,70.68,7.6,1.15,34084,4.63,0,110.01,1.58,12.32,408.89,1.01,0.88,12.95,106.99,120.91,16.26,34.91,0.37,32.55,5.88,3.21,2.91,72532,818.59,71351,4.37,26947,1129.1,10244,3893.9,87.86
UZB121,TASH023,Tashkent,TASH,slipware,pseudo calligraphic,11th c. CE,Open Vessel - Unknown,73.87,15.67,86.34,5.58,1.27,39939,4.55,56.03,98.1,2,14.53,305.18,0.98,1.23,14.46,123.89,132.7,15.08,37.18,0.41,31.39,6.25,3.18,3.05,77792,607.77,88171,5.28,24637,764.39,9878.8,4171,99.93
