Sample,Site,Region,Instrument,Component,Ware,Incision,Glaze_or_slip_color,Provenance,LIA Group,Count,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,Cr2O3,MnO,FeO,CoO,CuO,MoO3,SnO2,Sb2O3,PbO,Total
K066,Aktobe,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Monochrome,,Yellow,KAZ3,Cluster,5,0.049454775,0.166532478,3.011281301,33.12846547,,0.111468094,0.781306618,,,0.016500289,0.506196663,0.022580149,0.049687728,1.51E-05,1.31E-05,,62.15649832,100.0000001
K068,Aktobe,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Splashed,,Green,,Cluster,12,0.660272384,0.485112369,5.377856502,44.43004548,0.114489726,1.475840266,2.434253062,,0.005081462,0.034682373,0.653567613,0.004723748,2.014982737,,0.004507744,,42.30458453,100
K069,Aktobe,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Black,KAZ14,,4,0.2939626,0.624977893,3.688494585,37.32541657,0.146741552,0.824634089,2.023921672,,0.005015896,2.616652695,4.489641965,0.008428922,0.023732413,1.52E-05,1.32E-05,,47.92835071,99.99999996
K069,Aktobe,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Transparent,KAZ14,,4,0.304189635,0.627657974,3.356101458,40.99925577,0.168694766,0.706870319,1.843145082,,0.011039251,0.027916581,0.405410364,0.00541961,0.04820447,1.51E-05,0.00867763,,51.487402,100
K070,Aktobe,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,Y,Black,KAZ2,,7,0.2688859,0.499756443,4.785839209,42.00664752,0.139069275,1.164379932,1.072978152,,0.002209795,1.70389266,3.321202911,0.006380541,0.025418453,1.50E-05,0.006568962,,44.99675524,99.99999999
K070,Aktobe,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,Y,Transparent,KAZ2,,5,0.200081569,0.478420882,4.088708619,44.98127272,0.079145322,0.822753467,0.867700898,,0.009967866,0.094206589,0.430034149,0.006985133,0.014702704,1.49E-05,0.004996316,,47.92100882,99.99999995
K071,Aktobe,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Transparent,KAZ2,,5,0.241503689,0.383349356,4.754747554,36.17746497,0.08841762,0.797751219,0.793239521,0.194525667,0.012661548,0.075252539,1.012959051,,0.484600456,,0.00496095,,54.97856586,100
K071,Aktobe,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Brown,KAZ2,,6,0.246004504,0.384702232,5.116939204,35.48165627,0.087529705,0.843860314,0.726646844,0.215812248,0.014324039,0.060785815,1.196606706,,0.484134934,,0.006943699,,55.31389702,100.1798435
K072,Aktobe,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Transparent,KAZ3,,8,0.286976344,0.757681038,3.704284516,40.9285339,0.104933358,0.949628689,1.282022815,0.199268445,0.015779,0.609556935,1.473929874,,0.0788569,,0.003618147,0,49.60493004,100
K077,Aktobe,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Monochrome,,Brown,KAZ2,,2,0.557644468,0.463434826,7.76171383,36.1127972,0.187898555,1.133352384,1.926159011,0.304742984,0.0068206,0.030536882,0.664114895,,0.066969919,,0.008994155,,50.77482029,100
