"Sample","Site","Region","Glaze_or_slip_color","Ware","Provenance","Component","Al2O3","As2O3","BaO","CaO","Cl","CoO","Cr2O3","CuO","FeO","K2O","MgO","MnO","MoO3","Na2O","NiO2","P2O5","PbO","Sb2O3","SiO2","SnO2","SO3","TiO2","ZnO","Count"
"TASH034","Tashkent","Chach","","Slipware - Samanid","N/A","Red Slip",14.9,NA,NA,2.3,NA,NA,NA,NA,8.53,2.41,0.388,NA,NA,0.279,NA,NA,22.6,NA,48.1,NA,NA,0.433,NA,0
"TASH035","Tashkent","Chach","","Slipware - Samanid","N/A","Olive Slip",9.43,NA,NA,0.941,NA,NA,5.73,NA,0.758,3.75,0.86,NA,NA,NA,NA,NA,14.6,NA,63.3,NA,NA,0.654,NA,0
"TASH035","Tashkent","Chach","","Slipware - Samanid","N/A","Red Slip",15.5,NA,NA,1.98,NA,NA,0.92,NA,4.02,4.24,0.704,NA,NA,0.497,NA,1.57,19.7,NA,50.4,NA,NA,0.441,NA,0
"TASH042","Tashkent","Chach","","Slipware - Qarakhanid","TASH","Black Slip",9.11,NA,NA,0.956,NA,NA,3.28,NA,1.96,3.2,0.947,0.0273,NA,0.00911,NA,NA,12.7,NA,67.4,NA,NA,0.437,NA,0
"TASH046","Tashkent","Chach","","Slipware - Qarakhanid","N/A","Brown Slip",13.6,NA,NA,2.57,NA,NA,NA,0.694,1.42,2.79,0.712,0.0365,NA,0.457,NA,NA,16.1,NA,61.6,NA,NA,NA,NA,0
"TASH046","Tashkent","Chach","","Slipware - Qarakhanid","N/A","Olive Slip",8.66,NA,NA,0.868,NA,NA,NA,2.76,1.68,2.82,1.19,NA,NA,0.176,NA,NA,12,NA,69.6,NA,NA,0.212,NA,0
"TASH052","Tashkent","Chach","","Slipware - Samanid","N/A","Brown Slip",12.8,NA,NA,6.68,NA,NA,NA,NA,4.94,5.37,0.0486,2.76,NA,0.651,NA,0.515,14.4,NA,51.1,NA,NA,0.845,NA,0
"TASH058","Tashkent","Chach","","Splashed","N/A","Brown Slip",8.8,NA,NA,1.34,NA,NA,NA,NA,0.766,2.79,1.03,0.293,NA,0.503,NA,NA,12.7,NA,71.8,NA,NA,NA,NA,0
"TASH059","Tashkent","Chach","","Slipware - Samanid","TASH","Black Slip",13.8,NA,NA,3.78,NA,NA,NA,NA,12.2,5.82,0.755,1.94,NA,1.29,NA,2.24,5.18,NA,52.6,NA,NA,0.387,NA,0
"TASH064","Tashkent","Chach","","Slipware - Samanid","N/A","Black Slip",13.7,NA,NA,3.87,NA,NA,NA,NA,10.4,3.4,1.62,3.17,NA,0.827,NA,0.211,13.2,NA,49,NA,NA,0.662,NA,0
"TAZ001","Taraz","Talas Valley","","Slipware - Qarakhanid","TAZ - Group 3","Red Slip",14.9,NA,NA,2.26,NA,NA,0.345,NA,2.12,4.67,0.154,NA,NA,NA,NA,NA,16.2,NA,59.1,NA,NA,0.254,NA,0
"TAZ003","Taraz","Talas Valley","","Slipware - Qarakhanid","TASH","Brown Slip",12.2,NA,NA,2,NA,NA,0.119,NA,1.07,4.15,0.422,NA,NA,0.257,NA,NA,15,NA,64.8,NA,NA,NA,NA,0
"TS2","Termez","Transoxiana","","Underglaze","Imported","Black Slip",15.6,NA,NA,3.38,NA,NA,NA,NA,12.9,4.1,0.717,3.18,NA,1.54,NA,NA,10.2,NA,48.4,NA,NA,NA,NA,0
"Tashkent 10","Tashkent","Chach","","Slipware",NA,"Red Slip",15.3,NA,NA,0,NA,NA,0.333,NA,5.89,4.33,0.201,NA,NA,0.201,NA,NA,17.4,NA,56.3,NA,NA,0,NA,0
"Tashkent 18","Tashkent","Chach","","Slipware",NA,"Black Slip",8.71,NA,NA,10.4,NA,NA,NA,NA,11.9,3.85,0.304,1.11,NA,0.304,NA,1.93,9.52,NA,52,NA,NA,0,NA,0
"Tashkent 24","Tashkent","Chach","","Slipware",NA,"Black Slip",11.5,NA,NA,6.89,NA,NA,NA,NA,12.2,3.04,0.81,4.35,NA,0.81,NA,5.67,4.56,NA,49.2,NA,0.405,0.506,NA,0
"Tashkent 32","Tashkent","Chach","","Slipware",NA,"Olive Slip",7.69,NA,NA,0.809,NA,NA,4.51,NA,1.73,2.12,1.72,NA,NA,0,NA,1.11,10,NA,70.3,NA,NA,0,NA,0
"Tashkent 32","Tashkent","Chach","","Slipware",NA,"Red Slip",16.2,NA,NA,1.01,NA,NA,0.416,NA,5.71,4.02,0.604,NA,NA,0.101,NA,1.21,20.1,NA,49.2,NA,NA,1.41,NA,0
